Season,Competition,Matchday,Date,Venue,Club,Opponent,Result,Playing_Position,Minute,At_score,Type,Goal_assist
20/21,LaLiga,13,12/13/20,H,FC Barcelona,Levante UD,1:0,CF ,76,1:0,Left-footed shot,Frenkie de Jong
20/21,LaLiga,14,12/19/20,H,FC Barcelona,Valencia CF,2:2,CF ,45+4,1:1,Header,
20/21,LaLiga,15,12/22/20,A,FC Barcelona,Real Valladolid CF,0:3,AM ,65,0:3,Left-footed shot,Pedri
20/21,LaLiga,2,1/6/21,A,FC Barcelona,Athletic Bilbao,2:3,CF ,38,1:2,Left-footed shot,Pedri
20/21,LaLiga,2,1/6/21,A,FC Barcelona,Athletic Bilbao,2:3,CF ,62,1:3,Left-footed shot,Antoine Griezmann
20/21,LaLiga,18,1/9/21,A,FC Barcelona,Granada CF,0:4,CF ,35,0:2,Left-footed shot,Antoine Griezmann
20/21,LaLiga,18,1/9/21,A,FC Barcelona,Granada CF,0:4,CF ,42,0:3,Direct free kick,
20/21,Copa del Rey,Round of 16,1/27/21,A,FC Barcelona,Rayo Vallecano,1:2,CF ,69,1:1,Left-footed shot,Antoine Griezmann
20/21,LaLiga,21,1/31/21,H,FC Barcelona,Athletic Bilbao,2:1,CF ,20,1:0,Direct free kick,
20/21,LaLiga,22,2/7/21,A,FC Barcelona,Real Betis Balompie,2:3,CF,59,1:1,Left-footed shot,Ousmane Dembele
20/21,LaLiga,23,2/13/21,H,FC Barcelona,Deportivo Alaves,5:1,CF ,45+1,2:0,Left-footed shot,Sergio Busquets
20/21,LaLiga,23,2/13/21,H,FC Barcelona,Deportivo Alaves,5:1,CF ,75,4:1,Left-footed shot,Antoine Griezmann
20/21,UEFA Champions League,last 16,2/16/21,H,FC Barcelona,Paris Saint-Germain,1:4,CF ,27,1:0,Penalty,
20/21,LaLiga,24,2/21/21,H,FC Barcelona,Cadiz CF,1:1,CF ,32,1:0,Penalty,
20/21,LaLiga,1,2/24/21,H,FC Barcelona,Elche CF,3:0,CF ,48,1:0,Left-footed shot,Martin Braithwaite
20/21,LaLiga,1,2/24/21,H,FC Barcelona,Elche CF,3:0,CF ,68,2:0,Left-footed shot,Frenkie de Jong
20/21,LaLiga,25,2/27/21,A,FC Barcelona,Sevilla FC,0:2,CF ,85,0:2,Right-footed shot,Ilaix Moriba
20/21,UEFA Champions League,last 16,3/10/21,A,FC Barcelona,Paris Saint-Germain,1:1,SS ,37,1:1,Long distance kick,Pedri
20/21,LaLiga,27,3/15/21,H,FC Barcelona,SD Huesca,4:1,SS ,13,1:0,Left-footed shot,Sergio Busquets
20/21,LaLiga,27,3/15/21,H,FC Barcelona,SD Huesca,4:1,SS ,90,4:1,Left-footed shot,Francisco TrincÃ£o
20/21,LaLiga,28,3/21/21,A,FC Barcelona,Real Sociedad,1:6,SS ,56,0:4,Left-footed shot,Sergio Busquets
20/21,LaLiga,28,3/21/21,A,FC Barcelona,Real Sociedad,1:6,SS ,89,1:6,Left-footed shot,Jordi Alba
20/21,Copa del Rey,Final,4/17/21,A,FC Barcelona,Athletic Bilbao,0:4,CF ,68,0:3,Left-footed shot,Frenkie de Jong
20/21,Copa del Rey,Final,4/17/21,A,FC Barcelona,Athletic Bilbao,0:4,CF ,72,0:4,Left-footed shot,Jordi Alba
20/21,LaLiga,31,4/22/21,H,FC Barcelona,Getafe CF,5:2,CF ,8,1:0,Left-footed shot,Sergio Busquets
20/21,LaLiga,31,4/22/21,H,FC Barcelona,Getafe CF,5:2,CF ,33,3:1,Left-footed shot,
20/21,LaLiga,33,4/29/21,H,FC Barcelona,Granada CF,1:2,CF ,23,1:0,Left-footed shot,Antoine Griezmann
20/21,LaLiga,34,5/2/21,A,FC Barcelona,Valencia CF,2:3,CF ,57,1:1,Left-footed shot,
20/21,LaLiga,34,5/2/21,A,FC Barcelona,Valencia CF,2:3,CF ,69,1:3,Direct free kick,
20/21,LaLiga,36,5/11/21,A,FC Barcelona,Levante UD,3:3,SS ,25,0:1,Left-footed shot,
20/21,LaLiga,37,5/16/21,H,FC Barcelona,Celta de Vigo,1:2,SS ,28,1:0,Header,Sergio Busquets
21/22,UEFA Champions League,Group Stage,9/28/21,H,Paris Saint-Germain,Manchester City,2:0,RW,74,2:0,Left-footed shot,Kylian Mbappe
21/22,UEFA Champions League,Group Stage,10/19/21,H,Paris Saint-Germain,RB Leipzig,3:2,RW,67,2:2,Left-footed shot,Kylian Mbappe
21/22,UEFA Champions League,Group Stage,10/19/21,H,Paris Saint-Germain,RB Leipzig,3:2,RW,74,3:2,Penalty,
21/22,Ligue 1,14,11/20/21,H,Paris Saint-Germain,FC Nantes,3:1,RW,87,3:1,Left-footed shot,Kylian Mbappe
21/22,UEFA Champions League,Group Stage,12/7/21,H,Paris Saint-Germain,Club Brugge KV,4:1,CF,38,3:0,Left-footed shot,Kylian Mbappe
21/22,UEFA Champions League,Group Stage,12/7/21,H,Paris Saint-Germain,Club Brugge KV,4:1,CF,76,4:1,Penalty,
21/22,Ligue 1,23,2/6/22,A,Paris Saint-Germain,LOSC Lille,1:5,CF,38,1:3,Left-footed shot,
21/22,Ligue 1,30,4/3/22,H,Paris Saint-Germain,FC Lorient,5:1,RW,73,4:1,Left-footed shot,Kylian Mbappe
21/22,Ligue 1,34,4/23/22,H,Paris Saint-Germain,RC Lens,1:1,RW,68,1:0,Left-footed shot,Neymar
21/22,Ligue 1,37,5/14/22,A,Paris Saint-Germain,Montpellier,0:4,CF,6,0:1,Left-footed shot,Kylian Mbappé
21/22,Ligue 1,37,5/14/22,A,Paris Saint-Germain,Montpellier,0:4,CF,20,0:2,Left-footed shot,Kylian Mbappé
