Season,Competition,Matchday,Date,Venue,Club,Opponent,Result,Playing_Position,Minute,At_score,Type,Goal_assist
09/10,LaLiga,37,5/8/10,A,FC Barcelona,Sevilla FC,2:3,RW,5,0:1,Left-footed shot,Maxwell
09/10,LaLiga,38,5/16/10,H,FC Barcelona,Real Valladolid CF,4:0,RW,61,3:0,Right-footed shot,Yaya Toure
09/10,LaLiga,38,5/16/10,H,FC Barcelona,Real Valladolid CF,4:0,RW,74,4:0,Left-footed shot,Yaya Toure
10/11,Supercopa,final,8/21/10,H,FC Barcelona,Sevilla FC,4:0,RW,25,2:0,Left-footed shot,Xavi
10/11,Supercopa,final,8/21/10,H,FC Barcelona,Sevilla FC,4:0,RW,43,3:0,Right-footed shot,Dani Alves
10/11,Supercopa,final,8/21/10,H,FC Barcelona,Sevilla FC,4:0,RW,90+1,4:0,Left-footed shot,Andres Iniesta
10/11,LaLiga,1,8/29/10,A,FC Barcelona,Racing Santander,0:3,RW,3,0:1,Left-footed shot,Andres Iniesta
10/11,UEFA Champions League,Group Stage,9/14/10,H,FC Barcelona,Panathinaikos Athens,5:1,CF,22,1:1,Left-footed shot,Xavi
10/11,UEFA Champions League,Group Stage,9/14/10,H,FC Barcelona,Panathinaikos Athens,5:1,CF,45,3:1,Left-footed shot,Pedro
10/11,LaLiga,3,9/19/10,A,FC Barcelona,Atletico de Madrid,1:2,CF,12,0:1,Left-footed shot,Pedro
10/11,LaLiga,6,10/3/10,H,FC Barcelona,RCD Mallorca,1:1,CF,20,1:0,Left-footed shot,Pedro
10/11,UEFA Champions League,Group Stage,10/20/10,H,FC Barcelona,FC Copenhagen,2:0,CF,18,1:0,Left-footed shot,Andres Iniesta
10/11,UEFA Champions League,Group Stage,10/20/10,H,FC Barcelona,FC Copenhagen,2:0,CF,90+1,2:0,Left-footed shot,Ã‰ric Abidal
10/11,LaLiga,8,10/23/10,A,FC Barcelona,Real Zaragoza,0:2,CF,41,0:1,Left-footed shot,David Villa
10/11,LaLiga,8,10/23/10,A,FC Barcelona,Real Zaragoza,0:2,CF,65,0:2,Left-footed shot,
10/11,LaLiga,9,10/30/10,H,FC Barcelona,Sevilla FC,5:0,RW,4,1:0,Left-footed shot,
10/11,LaLiga,9,10/30/10,H,FC Barcelona,Sevilla FC,5:0,RW,63,4:0,Left-footed shot,
10/11,UEFA Champions League,Group Stage,11/2/10,A,FC Barcelona,FC Copenhagen,1:1,CF,31,0:1,Right-footed shot,
10/11,LaLiga,10,11/7/10,A,FC Barcelona,Getafe CF,1:3,CF,23,0:1,Left-footed shot,David Villa
10/11,Copa del Rey,4th round,11/10/10,H,FC Barcelona,Club Atletico de Ceuta,5:1,RW,67,5:1,Left-footed shot,Thiago
10/11,LaLiga,11,11/13/10,H,FC Barcelona,Villarreal CF,3:1,CF,58,2:1,Right-footed shot,Pedro
10/11,LaLiga,11,11/13/10,H,FC Barcelona,Villarreal CF,3:1,CF,83,3:1,Left-footed shot,Pedro
10/11,LaLiga,12,11/20/10,A,FC Barcelona,UD Almera,0:8,CF,16,0:1,Left-footed shot,David Villa
10/11,LaLiga,12,11/20/10,A,FC Barcelona,UD Almera,0:8,CF,36,0:5,Tap-in,
10/11,LaLiga,12,11/20/10,A,FC Barcelona,UD Almera,0:8,CF,67,0:7,Tap-in,David Villa
10/11,UEFA Champions League,Group Stage,11/24/10,A,FC Barcelona,Panathinaikos Athens,0:3,CF,63,0:2,Left-footed shot,Adriano
10/11,LaLiga,14,12/4/10,A,FC Barcelona,CA Osasuna,0:3,CF,64,0:2,Left-footed shot,David Villa
10/11,LaLiga,14,12/4/10,A,FC Barcelona,CA Osasuna,0:3,CF,82,0:3,Penalty,
10/11,LaLiga,15,12/12/10,H,FC Barcelona,Real Sociedad,5:0,CF,46,3:0,Left-footed shot,Dani Alves
10/11,LaLiga,15,12/12/10,H,FC Barcelona,Real Sociedad,5:0,CF,86,4:0,Left-footed shot,Bojan Krkic
10/11,LaLiga,18,1/8/11,A,FC Barcelona,Deportivo de La Coruaa,0:4,CF,51,0:2,Direct free kick,
10/11,Copa del Rey,Quarter-Finals,1/12/11,H,FC Barcelona,Real Betis Balompie,5:0,CF,44,1:0,Left-footed shot,Andres Iniesta
10/11,Copa del Rey,Quarter-Finals,1/12/11,H,FC Barcelona,Real Betis Balompie,5:0,CF,63,2:0,Left-footed shot,
10/11,Copa del Rey,Quarter-Finals,1/12/11,H,FC Barcelona,Real Betis Balompie,5:0,CF,73,3:0,Left-footed shot,Xavi
10/11,Copa del Rey,Quarter-Finals,1/19/11,A,FC Barcelona,Real Betis Balompie,3:1,RW,37,2:1,Left-footed shot,Xavi
10/11,LaLiga,20,1/22/11,H,FC Barcelona,Racing Santander,3:0,CF,33,2:0,Penalty,
10/11,Copa del Rey,Semi-Finals,1/26/11,H,FC Barcelona,UD Almera,5:0,CF,9,1:0,Left-footed shot,Pedro
10/11,Copa del Rey,Semi-Finals,1/26/11,H,FC Barcelona,UD Almera,5:0,CF,15,3:0,Left-footed shot,Andres Iniesta
10/11,LaLiga,21,1/29/11,A,FC Barcelona,Hercules CF,0:3,CF,87,0:2,Left-footed shot,Dani Alves
10/11,LaLiga,21,1/29/11,A,FC Barcelona,Hercules CF,0:3,CF,89,0:3,Left-footed shot,Dani Alves
10/11,LaLiga,22,2/5/11,H,FC Barcelona,Atletico de Madrid,3:0,CF,16,1:0,Left-footed shot,Dani Alves
10/11,LaLiga,22,2/5/11,H,FC Barcelona,Atletico de Madrid,3:0,CF,28,2:0,Left-footed shot,Pedro
10/11,LaLiga,22,2/5/11,H,FC Barcelona,Atletico de Madrid,3:0,CF,78,3:0,Left-footed shot,David Villa
10/11,LaLiga,24,2/20/11,H,FC Barcelona,Athletic Bilbao,2:1,CF,78,2:1,Right-footed shot,Dani Alves
10/11,LaLiga,25,2/26/11,A,FC Barcelona,RCD Mallorca,0:3,CF,38,0:1,Header,Seydou Keita
10/11,LaLiga,26,3/2/11,A,FC Barcelona,Valencia CF,0:1,CF,77,0:1,Left-footed shot,Adriano
10/11,UEFA Champions League,last 16,3/8/11,H,FC Barcelona,Arsenal FC,3:1,RW,49,1:0,Left-footed shot,Andres Iniesta
10/11,UEFA Champions League,last 16,3/8/11,H,FC Barcelona,Arsenal FC,3:1,RW,72,3:1,Penalty,
10/11,LaLiga,31,4/9/11,H,FC Barcelona,UD Almera,3:1,CF,52,1:1,Penalty,
10/11,LaLiga,31,4/9/11,H,FC Barcelona,UD Almera,3:1,CF,90+1,3:1,Left-footed shot,Seydou Keita
10/11,UEFA Champions League,Quarter-Finals,4/12/11,A,FC Barcelona,Shakhtar Donetsk,0:1,CF,42,0:1,Left-footed shot,Dani Alves
10/11,LaLiga,32,4/16/11,A,FC Barcelona,Real Madrid,1:1,CF,53,0:1,Penalty,
10/11,LaLiga,33,4/23/11,H,FC Barcelona,CA Osasuna,2:0,CF,87,2:0,Right-footed shot,Dani Alves
10/11,UEFA Champions League,Semi-Finals,4/27/11,A,FC Barcelona,Real Madrid,0:2,CF,76,0:1,Left-footed shot,Ibrahim Afellay
10/11,UEFA Champions League,Semi-Finals,4/27/11,A,FC Barcelona,Real Madrid,0:2,CF,87,0:2,Solo run,Sergio Busquets
10/11,UEFA Champions League,Final,5/28/11,H,FC Barcelona,Manchester United,3:1,CF,54,2:1,Left-footed shot,Andres Iniesta
11/12,Supercopa,final,8/14/11,A,FC Barcelona,Real Madrid,2:2,CF,45,1:2,Left-footed shot,Thiago
11/12,Supercopa,final,8/17/11,H,FC Barcelona,Real Madrid,3:2,CF,44,2:1,Right-footed shot,Gerard Pique
11/12,Supercopa,final,8/17/11,H,FC Barcelona,Real Madrid,3:2,CF,88,3:2,Left-footed shot,Adriano
11/12,UEFA Super Cup,Final,8/26/11,H,FC Barcelona,FC Porto,2:0,CF,39,1:0,Left-footed shot,
11/12,LaLiga,2,8/29/11,H,FC Barcelona,Villarreal CF,5:0,CF,51,4:0,Right-footed shot,Andres Iniesta
11/12,LaLiga,2,8/29/11,H,FC Barcelona,Villarreal CF,5:0,CF,74,5:0,Left-footed shot,Thiago
11/12,LaLiga,4,9/17/11,H,FC Barcelona,CA Osasuna,8:0,CF,5,1:0,Left-footed shot,Dani Alves
11/12,LaLiga,4,9/17/11,H,FC Barcelona,CA Osasuna,8:0,CF,41,5:0,Left-footed shot,Cesc Fabregas
11/12,LaLiga,4,9/17/11,H,FC Barcelona,CA Osasuna,8:0,CF,79,8:0,Left-footed shot,Cesc Fabregas
11/12,LaLiga,6,9/24/11,H,FC Barcelona,Atletico de Madrid,5:0,CF,26,3:0,Left-footed shot,Pedro
11/12,LaLiga,6,9/24/11,H,FC Barcelona,Atletico de Madrid,5:0,CF,78,4:0,Left-footed shot,Dani Alves
11/12,LaLiga,6,9/24/11,H,FC Barcelona,Atletico de Madrid,5:0,CF,90+1,5:0,Left-footed shot,David Villa
11/12,UEFA Champions League,Group Stage,9/28/11,A,FC Barcelona,BATE Borisov,0:5,CF,38,0:3,Header,
11/12,UEFA Champions League,Group Stage,9/28/11,A,FC Barcelona,BATE Borisov,0:5,CF,56,0:4,Left-footed shot,Dani Alves
11/12,LaLiga,8,10/15/11,H,FC Barcelona,Racing Santander,3:0,CF,11,1:0,Right-footed shot,Andres Iniesta
11/12,LaLiga,8,10/15/11,H,FC Barcelona,Racing Santander,3:0,CF,69,3:0,Right-footed shot,
11/12,LaLiga,11,10/29/11,H,FC Barcelona,RCD Mallorca,5:0,CF,13,1:0,Penalty,
11/12,LaLiga,11,10/29/11,H,FC Barcelona,RCD Mallorca,5:0,CF,21,2:0,Right-footed shot,Adriano
11/12,LaLiga,11,10/29/11,H,FC Barcelona,RCD Mallorca,5:0,CF,30,3:0,Left-footed shot,Dani Alves
11/12,UEFA Champions League,Group Stage,11/1/11,A,FC Barcelona,FC Viktoria Plzen,0:4,CF,24,0:1,Penalty,
11/12,UEFA Champions League,Group Stage,11/1/11,A,FC Barcelona,FC Viktoria Plzen,0:4,CF,45+2,0:2,Left-footed shot,Adriano
11/12,UEFA Champions League,Group Stage,11/1/11,A,FC Barcelona,FC Viktoria Plzen,0:4,CF,90+2,0:4,Left-footed shot,Gerard Pique
11/12,LaLiga,12,11/6/11,A,FC Barcelona,Athletic Bilbao,2:2,CF,90,2:2,Left-footed shot,
11/12,LaLiga,13,11/19/11,H,FC Barcelona,Real Zaragoza,4:0,CF,43,2:0,Right-footed shot,Cesc Fabregas
11/12,UEFA Champions League,Group Stage,11/23/11,A,FC Barcelona,AC Milan,2:3,SS,31,1:2,Penalty,
11/12,LaLiga,17,11/29/11,H,FC Barcelona,Rayo Vallecano,4:0,CF,49,4:0,Left-footed shot,Dani Alves
11/12,LaLiga,15,12/3/11,H,FC Barcelona,Levante UD,5:0,CF,55,4:0,Left-footed shot,Dani Alves
11/12,FIFA Club World Cup,Final,12/18/11,A,FC Barcelona,Santos FC,0:4,RW,17,0:1,Left-footed shot,Xavi
11/12,FIFA Club World Cup,Final,12/18/11,A,FC Barcelona,Santos FC,0:4,RW,82,0:4,Left-footed shot,Dani Alves
11/12,Copa del Rey,last 16,1/4/12,H,FC Barcelona,CA Osasuna,4:0,CF,71,3:0,Header,Cesc Fabregas
